C/A,UNIT,STATION,DIVISION,LINENAME,ENTRIES_10_12,EXITS_10_12,ENTRIES_13_16,EXITS_13_16,ENTRIES_17_20,EXITS_17_20,ENTRIES_21_22,EXITS_21_22,OPENED,CLOSED,PRIOR_REMOTES,PRIOR_STATIONS
N601A,R319,LEXINGTON AV/63,IND,F,,,61,109,9532658,9456700,2002157,3012412,10/4/16 12:00,,,
N602,R259,ROOSEVELT ISLND,IND,F,6063802,5158916,7943826,7089031,7977334,7296138,1958246,2539883,,,,ROOSEVELT IS
N603,R303,21 ST-QNSBRIDGE,IND,F,7358236,6821186,11326232,9493340,11732159,8092751,2623307,3084438,,,,21 ST
N604,R342,JAMAICA VAN WK,IND,E,4133936,4303817,6307858,6452748,5371891,6023628,1247615,2179175,,,,JAMAICA-VAN WYC
N605,R024,SUTPHIN-ARCHER,IND,EJZ,18614685,17048730,30973522,25405896,25540558,21888761,6263954,7385367,,,,SUTPHIN BLVD
N606,R025,JAMAICA CENTER,IND,EJZ,26795086,20613905,40669032,30641375,29722777,23011184,6619143,6361411,,,,
N607,R025,JAMAICA CENTER,IND,EJZ,6767699,8419301,11200864,12418721,8321471,10807923,1417364,3393999,,,,
N700,R570,72 ST-2 AVE,IND,Q,,,,,19015302,16965671,3862297,5147099,12/31/16 0:00,,,
N700A,R570,72 ST-2 AVE,IND,Q,,,,,11750182,10243052,2470897,3251451,12/31/16 0:00,,,
N701,R571,86 ST-2 AVE,IND,Q,,,,,15207145,8377906,2791636,2809845,12/31/16 0:00,,,
N701A,R571,86 ST-2 AVE,IND,Q,,,,,11746522,10482219,2007261,2918875,12/31/16 0:00,,,
N702,R572,96 ST-2 AVE,IND,Q,,,,,11490362,7913117,2995430,2630072,12/31/16 0:00,,,
N702A,R572,96 ST-2 AVE,IND,Q,,,,,8532593,7050061,1512003,1938670,12/31/16 0:00,,,
OB01,R459,ORCHARD BEACH,IND,6,186994,10185,166496,9489,41224,7185,1022134,50801,5/22/10 12:00,9/11/22 16:00,,
PTH01,R549,NEWARK HW BMEBE,PTH,1,4556647,6138912,6020716,6527671,5429243,8388553,932816,2744171,,,,
PTH02,R544,HARRISON,PTH,1,5541525,5883821,9036228,9353354,9102310,9338043,2216235,2566736,,,,
PTH03,R552,JOURNAL SQUARE,PTH,1,22306324,22525482,26167113,17802888,28095228,28117203,7759777,7766182,,,,
PTH04,R551,GROVE STREET,PTH,1,12783333,12834358,21416746,21700468,21549786,22380691,5606684,6068817,,,,
PTH05,R543,EXCHANGE PLACE,PTH,1,12614425,11626005,17486041,16914049,16664137,16873109,3232429,3987368,,,,
PTH06,R546,PAVONIA/NEWPORT,PTH,1,15119469,15431600,23047299,23755265,18797638,19407656,3546276,4355189,,,,
PTH07,R550,CITY / BUS,PTH,1,14634439,14499172,18959916,19972431,17611780,18303264,3710959,4186381,,,,
PTH08,R540,PATH WTC,PTH,1,36033866,35073299,44063134,41313172,0,0,,,,6/27/16 4:21,,
PTH09,R548,CHRISTOPHER ST,PTH,1,3549464,3755416,5842161,6336648,5326037,5753087,2549081,2510694,,,,
PTH10,R547,9TH STREET,PTH,1,4198361,4091539,6614012,6724728,5494288,5894602,1640328,1805010,,,,
PTH11,R545,14TH STREET,PTH,1,7754510,7929514,11689723,11982841,9485275,10192040,2850156,2899792,,,,
PTH12,R542,TWENTY THIRD ST,PTH,1,6190140,7345028,9972433,12130958,9107354,10676624,2132396,1950422,,,,
PTH13,R541,THIRTY ST,PTH,1,8374301,10499323,11728758,13795871,10547943,10092308,2725678,2566065,,,,
PTH16,R550,LACKAWANNA,PTH,1,6853388,7403582,8640383,10081646,9787544,9819125,1867405,1852154,,,,
PTH17,R541,THIRTY THIRD ST,PTH,1,21302287,14854646,29042847,20896544,24583190,19409088,5472786,4447263,,,,
PTH18,R549,NEWARK BM BW,PTH,1,14825810,594874,17268026,960804,16896986,1170594,3989104,455900,,,,
PTH19,R549,NEWARK C,PTH,1,4132727,445530,5583109,627816,6699053,817298,1253023,599953,,,,
PTH20,R549,NEWARK HM HE,PTH,1,404240,14698678,1205675,19791655,1129740,19899422,584174,5431628,,,,
PTH21,R540,PATH WTC 2,PTH,1,479282,783498,594416,3420374,3083397,10581419,956673,3035161,,,,
PTH22,R540,PATH NEW WTC,PTH,1,,,23315,10951,52079553,47325657,12178639,12259624,9/16/16 16:29,,,
R101,R001,SOUTH FERRY,IRT,1RW,2229549,2115577,15494484,17157289,15999390,13043753,2902752,3430323,,,,
R101S,R001,SOUTH FERRY,IRT,RW1,9784817,9490237,,,,,,,5/26/12 1:00,10/28/12 17:00,,
R102,R304,RECTOR ST,IRT,1,2830742,1536474,4904359,4647580,3783798,3566515,492952,719686,,,,
R103,R304,RECTOR ST,IRT,1,4828960,1244299,8191487,4430331,5474840,2820209,815474,609411,,,,
R106,R305,WTC-CORTLANDT,IRT,1,,,,,2480,8030,518,568,9/5/18 18:00,9/25/22 5:00,,CORTLANDT ST
R107,R305,WTC-CORTLANDT,IRT,1,,,,,1609217,466426,552792,248808,9/5/18 21:00,,,CORTLANDT ST
R107D,R305,WTC-CORTLANDT,IRT,1,,,,,3339071,2508048,1066046,1342294,9/5/18 19:00,,,CORTLANDT ST
R108,R305,WTC-CORTLANDT,IRT,1,,,,,796867,1039251,274066,539696,9/5/18 21:00,,,CORTLANDT ST
R108A,R305,WTC-CORTLANDT,IRT,1,,,,,124309,1210519,33185,755750,9/5/18 21:00,,,CORTLANDT ST
R109,R305,WTC-CORTLANDT,IRT,1,,,,,827289,271482,284514,147016,9/4/18 17:00,,,CORTLANDT ST
R110,R027,WALL ST,IRT,23,6948607,4742169,12686319,8576519,9227525,6283102,1191784,1324816,,,,
R111,R027,WALL ST,IRT,23,6434703,7034511,10282018,11807309,7401339,8715545,1163706,2200412,,,,
R112,R027,WALL ST,IRT,23,2744655,3320057,3913580,4802068,4032793,4519290,182918,408144,,,,
R112A,R027,WALL ST,IRT,23,3028127,3267076,4175110,4698417,2127593,2484215,318465,616224,,,,
R113,R028,FULTON ST,IRT,2345ACJZ,5927992,5943362,8375648,8068559,6455190,6011753,818051,1139645,,,,FULTON STREET
R113A,R028,FULTON ST,IRT,2345ACJZ,9421755,7761619,,,,,,,,9/14/12 23:00,,FULTON STREET
R114,R028,FULTON ST,IRT,2345ACJZ,566070,642282,2227810,4237508,2758112,4639249,521651,1348296,,,,FULTON STREET
R115,R029,PARK PLACE,IRT,23ACE,3033653,2366197,4591362,3805087,3077331,2626708,435548,612040,,,,
R116,R030,CHAMBERS ST,IRT,123,17790194,16594970,27974942,24544486,20522250,18932281,3108167,4485953,,,,
R117,R343,FRANKLIN ST,IRT,1,3972747,793212,5920918,1093979,4635399,1001380,773040,227628,,,,
R118,R343,FRANKLIN ST,IRT,1,810622,1842825,1155129,2972455,985560,2442682,156357,700483,,,,
R119,R320,CANAL ST,IRT,1,3840549,1342821,5905359,1986242,5051537,1703817,719889,417669,,,,
R120,R320,CANAL ST,IRT,1,955591,4007111,1445724,5532600,1205420,4212302,179080,1130505,,,,
R121,R290,HOUSTON ST,IRT,1,3763100,531453,6526363,668236,5147564,759608,627340,177586,,,,
R122,R290,HOUSTON ST,IRT,1,923602,1590273,1504066,1880244,1213460,1164759,158197,359116,,,,
R123,R290,HOUSTON ST,IRT,1,5125982,1517567,7524079,2548268,6370332,2051685,1022058,537906,,,,
R124,R290,HOUSTON ST,IRT,1,1565330,5236888,2355272,7399131,2042661,5924648,320156,1577062,,,,
R125,R189,CHRISTOPHER ST,IRT,1,7283541,2313076,10556718,3337236,8588010,2567474,1647153,819987,,,,
R126,R189,CHRISTOPHER ST,IRT,1,2111965,6863908,3151295,9166827,2485665,6989964,442343,2401455,,,,
R127,R105,14 ST,IRT,123FLM,15389101,8384748,23688888,12921588,17636119,9968453,3142943,2852626,,,,
R128,R105,14 ST,IRT,123FLM,5638106,3788486,9243668,5752673,7688210,4721915,1452814,1568801,,,,
R129,R321,18 ST,IRT,1,5004732,1533412,7846175,2329675,6476420,1911606,1028613,501276,,,,
R130,R321,18 ST,IRT,1,1783329,2588646,2780907,4354033,2308686,3664626,334895,1101404,,,,
R131,R190,23 ST,IRT,1,8890634,3527888,13784139,5272063,11276381,4104891,1978726,1148108,,,,
R132,R190,23 ST,IRT,1,3642767,7530308,5614540,10820064,4442983,8854586,698736,2564123,,,,
R133,R272,28 ST,IRT,1,7828087,2776092,12829900,4609007,10196223,3807565,1695720,1085905,,,,
R134,R272,28 ST,IRT,1,3448113,5327199,5673800,7779014,4563032,6324881,701653,1991298,,,,
R135,R031,34 ST-PENN STA,IRT,123,9356540,16102617,15298535,23890023,11834466,20699224,1691966,5306275,,,,
R137,R031,34 ST-PENN STA,IRT,123,2328289,2633850,3927044,4449071,2950218,3543769,341,880,,9/23/22 8:00,,
R138,R293,34 ST-PENN STA,IRT,123ACE,38021168,24453987,58885427,38273082,45482081,32379760,7593931,9380874,,,,
R139,R031,34 ST-PENN STA,IRT,123,4254588,3267206,6986353,4525572,6881933,4310576,827082,1547884,,,,
R141,R031,34 ST-PENN STA,IRT,123,12562653,6077488,17746296,9829922,12877649,6833387,2310742,1711556,,,,
R142,R293,34 ST-PENN STA,IRT,123ACE,7133479,9258657,11193069,13328984,7904934,10163688,1305912,2594320,,,,
R143,R032,TIMES SQ-42 ST,IRT,1237ACENQRSW,9517066,10916221,17041462,18215630,13905727,15728488,2324500,3989557,,,,42 ST-TIMES SQ
R145,R032,TIMES SQ-42 ST,IRT,1237ACENQRSW,8528467,13439792,14064295,21359734,11438655,17562124,1978434,5110076,,,,42 ST-TIMES SQ
R146,R032,TIMES SQ-42 ST,IRT,1237ACENQRS,0,0,,,,,,,,,,42 ST-TIMES SQ
R147,R033,TIMES SQ-42 ST,IRT,1237ACENQRS,19658952,9145708,26858172,11549802,22395559,10164426,4242134,3047523,,,,42 ST-TIMES SQ
R148,R033,TIMES SQ-42 ST,IRT,1237ACENQRSW,10509852,6723859,20391485,10934056,16369906,8535769,1103349,1423505,,,,42 ST-TIMES SQ
R151,R033,TIMES SQ-42 ST,IRT,1237ACENQRSW,28714006,24069646,37792417,35206342,28038100,25983764,4331175,6032410,,,,42 ST-TIMES SQ
R153,R033,TIMES SQ-42 ST,IRT,1237ACENQRSW,,,,,,,341806,637128,3/26/22 0:00,,,42 ST-TIMES SQ
R154,R116,50 ST,IRT,1,10051548,10126213,15907287,14900963,12939675,11541897,1760630,3362181,,,,
R155,R116,50 ST,IRT,1,10903511,10847069,17202078,16750669,13504122,13687245,2228991,3136256,,,,
R158,R084,59 ST COLUMBUS,IRT,1ABCD,11283295,6625070,19927954,13223621,15280370,11862950,2726092,3415234,,,,59 ST-COLUMBUS
R159,R164,66 ST-LINCOLN,IRT,1,5308791,9884556,8377846,14111227,6095659,11003065,1161812,3160365,,,,66 ST/LINCOLN
R160,R164,66 ST-LINCOLN,IRT,1,10004933,4898940,14567865,6868512,11206648,5251192,1944563,1525743,,,,66 ST/LINCOLN
R160A,R164,66 ST-LINCOLN,IRT,1,3937417,3610699,7850654,7023887,6291044,5555504,650793,1172904,,,,66 ST/LINCOLN
R161A,R452,72 ST,IRT,123,15398484,17762331,25165431,28766499,20494341,23979384,3832245,6838455,,,,
R161B,R452,72 ST,IRT,123,19049953,15326187,28460524,22861933,22281989,18063595,4202045,5262080,,,,72ND STREET
R162,R166,79 ST,IRT,1,10190711,4093458,15531712,5711400,11727860,4480930,2164368,1538613,,,,
R163,R166,79 ST,IRT,1,4126633,4127976,6535922,5738311,4976493,4137686,1070468,1836062,,,,
R164,R167,86 ST,IRT,1,7922448,3800462,12013740,6020698,9028254,5001704,1735370,1553940,,,,86 STREET
R165,R167,86 ST,IRT,1,5035415,10667992,8082109,16267773,6438733,12746244,1373380,3783279,,,,86 STREET
R166,R167,86 ST,IRT,1,3627555,1731930,5682413,2694414,4669276,2062674,806649,708398,,,,86 STREET
R168,R168,96 ST,IRT,123,20168612,19413033,,,,,,,,11/2/12 21:00,,
R168A,R168,96 ST,IRT,123,12229614,11282638,18327362,16268598,14701314,13591488,2729391,3928346,,,,
R169,R168,96 ST,IRT,123,1222376,1157281,33368695,32933698,25217771,27019233,5070891,7930091,11/3/12 1:00,,,
R170,R191,103 ST,IRT,1,11578461,5368144,17235403,8031838,13530715,6938648,2788888,2353808,,,,
R171,R192,CATHEDRAL PKWY,IRT,1,2405525,3855304,3498368,5999220,2687007,4973420,626368,1849785,,,,110 ST-CATHEDRL
R172,R192,CATHEDRAL PKWY,IRT,1,9485956,2168746,13884401,2918776,10486350,2267127,1951959,826264,,,,110 ST-CATHEDRL
R173,R159,116 ST-COLUMBIA,IRT,1,13160914,6370366,19630265,9644934,14816166,7799414,2249801,2355922,,,,
R174,R034,125 ST,IRT,1,6724162,6814042,10414653,10277723,8323031,8678491,1749034,2837150,,,,
R175,R169,137 ST CITY COL,IRT,1,2480563,9212633,3718879,12996223,2833011,10337930,629930,3185398,,,,137 ST-CITY COL
R176,R169,137 ST CITY COL,IRT,1,9981067,2547365,15094455,3582133,11698606,2887367,2365404,945937,,,,137 ST-CITY COL
R177,R273,145 ST,IRT,1,2093118,5694537,3222754,7795197,2555407,6445316,619850,2344154,,,,
R178,R273,145 ST,IRT,1,6608771,2031207,10204808,2747648,8052050,2159018,1803779,800137,,,,
R179,R193,157 ST,IRT,1,1971303,5523654,3215167,7682719,2895514,6507384,667634,2084448,,,,
R180,R193,157 ST,IRT,1,7022037,1743186,10933891,2447068,9416666,2129389,2034714,700550,,,,
R182,R035,168 ST,IRT,1AC,10251869,9896472,16009622,16577664,11111011,19285351,2838597,4313835,,,,168 ST-BROADWAY
R183,R260,181 ST,IRT,1,9095090,9824468,15040261,15614331,12730173,13505491,1158148,1980591,,,,
R185,R274,191 ST,IRT,1,6477959,7080499,10785102,11558796,8065067,9055716,2118965,3560017,,,,
R186,R036,DYCKMAN ST,IRT,1,3990518,3197629,9167595,5521559,7822283,4591706,1884771,1611301,,,,
R188,R037,207 ST,IRT,1,5705450,3400148,8463468,3983421,7094867,3533329,1726368,1109516,,,,207 STREET
R190,R038,215 ST,IRT,1,1650501,834301,2629725,1178626,2021327,942194,475696,248556,,,,215 STREET
R192,R039,MARBLE HILL-225,IRT,1,4492283,1184957,7283872,1788931,5816505,1383689,1315143,413699,,,,225 STREET
R194,R040,231 ST,IRT,1,7486052,1661837,12132068,3113682,10477973,1633121,2336651,446868,,,,231 STREET
R196,R306,238 ST,IRT,1,2808962,120572,4953781,157777,4166958,320797,1111457,169624,,,,
R197,R117,V.CORTLANDT PK,IRT,1,5476632,2631492,9123165,4130857,8008110,3768376,1917206,1175358,,,,242 ST
R200A,R041,BOWLING GREEN,IRT,45,12400318,5501400,20663646,8223950,15728408,5729252,2291817,1632051,,,,
R201,R041,BOWLING GREEN,IRT,45,6144189,6190598,11971096,10906766,8712585,8037245,1435158,1490411,,,,
R202,R042,BOWLING GREEN,IRT,45,4263681,10939704,7119775,17671014,4856277,12942403,943353,3396772,,,,
R203,R043,WALL ST,IRT,45,14302363,2834953,21606732,4884102,14371959,3742321,1997912,808961,,,,
R203A,R043,WALL ST,IRT,45,796549,518683,1182796,888369,754440,598850,36265,46704,,,,
R204,R043,WALL ST,IRT,45,2372238,8582325,4233725,12524181,3173834,9770797,444396,1634129,,,,
R204A,R043,WALL ST,IRT,45,358506,1952265,643097,2697895,491409,1859155,329171,263174,,9/29/22 14:00,,
R205,R014,FULTON ST,IRT,ACJZ2345,2934248,988050,,,,,,,,1/7/12 9:16,,FULTON STREET
R205A,R014,FULTON ST,IRT,2345ACJZ,9079687,2342956,12293863,3900537,8592584,2710607,987627,518498,,,,FULTON STREET
R206,R014,FULTON ST,IRT,2345ACJZ,158351,364844,4388059,12711736,5153313,19155365,841238,5227819,7/30/12 16:16,,,
R208,R014,FULTON ST,IRT,2345ACJZ,4198323,10234322,4917417,9873885,1930351,4383888,346497,937553,,,,FULTON STREET
R210,R044,BROOKLYN BRIDGE,IRT,456JZ,15926274,13029156,23153234,18320868,15336980,11961855,2444438,3023207,,,,
R210A,R044,BROOKLYN BRIDGE,IRT,456JZ,4199819,4161853,6203620,5950759,4668389,4526483,797720,982879,,,,
R215,R322,SPRING ST,IRT,6,9024920,2282785,13602320,3216447,10531917,2285504,1760100,705496,,,,
R216,R322,SPRING ST,IRT,6,1603426,9302699,2399926,14041349,1694655,10967300,291926,3411426,,,,
R217,R194,BLEEKER ST,IRT,6,8580480,4425235,,,,,,,,4/13/12 20:00,,
R217A,R194,BLEECKER ST,IRT,6DF,2963603,1191205,19319319,7250669,16873003,6473074,2749359,1835248,4/14/12 0:00,,,
R219,R160,ASTOR PL,IRT,6,11645718,3917870,16830785,6631666,13167331,5604046,2071360,1577889,,,,ASTOR PLACE
R220,R160,ASTOR PL,IRT,6,3440374,11312684,5504087,16544691,4363396,13114201,624941,3614172,,,,ASTOR PLACE
R221,R170,14 ST-UNION SQ,IRT,456LNQRW,30710804,33140357,46454930,43554806,35079147,32064876,5871748,10209840,,,,
R226,R131,23 ST,IRT,6,6670113,9010154,9401892,12952639,8545522,10290451,1112460,2553773,,,,
R226A,R131,23 ST,IRT,6,1494777,3693996,2781756,4130158,1951414,2810517,325686,882991,,,,
R227,R131,23 ST,IRT,6,11209954,5821671,14657239,7804923,12380095,7035948,1950544,1627665,,,,
R227A,R131,23 ST,IRT,6,4987602,2829935,8737839,5294068,5754062,3830143,939225,1080617,,,,
R228,R143,28 ST,IRT,6,6369644,8898925,10085302,13553202,6915320,8382399,1517002,3075976,,,,
R229,R143,28 ST,IRT,6,11375129,7437716,17851188,11776735,10994656,7594506,2236215,2426820,,,,
R230,R143,28 ST,IRT,6,432593,1060724,731598,2710139,486765,1897499,11948,161278,,,,
R231,R176,33 ST,IRT,6,9934601,5757924,14560123,7937697,10168784,6089136,1786443,1685603,,,,
R231A,R176,33 ST,IRT,6,5520980,4161820,9053275,6744262,7929550,5946057,1256087,1557663,,,,
R232,R176,33 ST,IRT,6,6759545,8407097,10641476,12043802,7865791,8444814,1141751,2411506,,,,
R232A,R176,33 ST,IRT,6,2913526,3175539,4850792,4496593,4498780,3236952,632377,789025,,,,
R235,R045,GRD CNTRL-42 ST,IRT,4567S,,,,,1712,5318,332708,562727,9/30/20 13:00,,,
R236,R045,GRD CNTRL-42 ST,IRT,4567S,18823547,17594841,29095378,26926851,21875588,20318998,1901550,2581004,,,,42 ST-GRD CNTRL
R237,R046,GRD CNTRL-42 ST,IRT,4567S,5055638,5091002,7931338,8355009,7491569,6812283,674646,1059683,,,,42 ST-GRD CNTRL
R237B,R047,GRD CNTRL-42 ST,IRT,4567S,2654335,4223155,4405361,6838854,9294516,7134448,1712459,1949979,,,,42 ST-GRD CNTRL
R238,R046,GRD CNTRL-42 ST,IRT,4567S,52357661,44594696,83939541,70297801,42959417,56474497,7917948,15238600,,,,42 ST-GRD CNTRL
R238A,R046,GRD CNTRL-42 ST,IRT,4567S,,,4006566,758843,24788620,5168374,2949029,1411089,2/27/16 3:00,,,42 ST-GRD CNTRL
R240,R047,GRD CNTRL-42 ST,IRT,4567S,28942652,30651397,45761153,45112754,30738486,34188852,3950774,8453074,,,,42 ST-GRD CNTRL
R241A,R048,GRD CNTRL-42 ST,IRT,4567S,8415720,7070053,13808253,10736077,12144380,7178596,1578072,1557226,,,,42 ST-GRD CNTRL
R242,R049,51 ST,IRT,6,8989140,7484692,13872496,11194268,10125894,7730785,1339983,2048408,,,,51 STREET
R242A,R049,51 ST,IRT,6,1803460,2789161,1439668,2373721,1919523,2860916,239488,484080,,,,51 STREET
R243,R049,51 ST,IRT,6,8241761,10729186,12538868,15813156,9217730,12746082,1329139,2920947,,,,51 STREET
R244,R050,59 ST,IRT,456NQRW,11482135,11947036,17752378,18152047,11965842,13487543,2585664,4184106,,,,59 STREET
R244A,R050,59 ST,IRT,456NQRW,12150973,8512965,18096022,13119564,12669699,9673020,1201181,2522877,,,,59 STREET
R245,R051,59 ST,IRT,456NQRW,8271611,7434565,11717823,12281460,7850679,9421131,1737337,2731736,,,,59 STREET
R245A,R051,59 ST,IRT,456NQRW,10817861,11303073,16617677,17472056,11724064,13122387,2395066,3344734,,,,59 STREET
R246,R177,68ST-HUNTER CO,IRT,6,28162154,20141984,41661521,27300880,23039229,19088948,4478548,6114911,,,,68ST-HUNTER COL
R247,R178,77 ST,IRT,6,4540556,23588358,7355708,33441859,5988423,20300241,1465007,6294075,,,,
R248,R178,77 ST,IRT,6,25398484,5256122,37370778,8245540,21200444,6993108,4421135,2398468,,,,
R249,R179,86 ST,IRT,456,10205964,43421874,16600299,65896396,13733107,38038509,3441496,10697658,,,,
R250,R179,86 ST,IRT,456,42568539,7873246,66091454,9196047,33305641,8190860,6090705,3504355,,,,
R251,R144,96 ST,IRT,6,20812910,6379116,32243121,7708848,18338692,6121577,3905674,2630474,,,,
R252,R180,103 ST,IRT,6,13197694,12516449,18659876,16646247,14503568,13376171,3209769,4564500,,,,
R253,R181,110 ST,IRT,6,3213365,6030043,5148969,8764659,3855822,7163276,837168,2425765,,,,
R254,R181,110 ST,IRT,6,6974495,2837680,11141400,4073978,8178559,3420900,1787636,1342239,,,,
R256,R182,116 ST,IRT,6,8605612,4822906,13203297,6429099,10185957,5437536,2252054,2071719,,,,
R257,R182,116 ST,IRT,6,5585789,3987583,8318905,5302149,6377119,4872881,1340236,1736668,,,,
R258,R132,125 ST,IRT,456,24451802,21590688,38535682,33216733,30466645,27651785,5994440,8999615,,,,
R259,R307,138/GRAND CONC,IRT,45,2550759,2400442,4196517,3773598,3466047,3110711,982009,1335038,,,,"138 ST,138 ST-GR CONC"
R260,R205,149/GRAND CONC,IRT,245,3265499,1058833,5382438,1243387,4358750,945045,837289,240871,,,,"149 ST-GR CONC*,149 ST-GR CONC"
R261,R205,149/GRAND CONC,IRT,245,7954127,7633490,12460893,10106126,9791761,8661882,2024104,2969721,,,,149 ST-GR CONC
R262,R195,161/YANKEE STAD,IRT,4BD,8665138,4948826,12386562,5573715,9389465,4073096,2343202,1453164,,,,161 ST-YANKEE
R262A,R195,161/YANKEE STAD,IRT,4BD,864381,1437175,1103075,1178739,811790,866595,138829,256272,,,,161 ST-YANKEE
R262B,R195,161/YANKEE STAD,IRT,4BD,625603,467824,630147,467453,525674,265513,66727,49286,,,,161 ST-YANKEE
R283,R221,167 ST,IRT,4,8168602,7840088,12600271,12284486,10031386,10547991,2590302,3705243,,,,
R284,R243,170 ST,IRT,4,8070206,5853552,12051320,8238279,9205023,7436224,2118727,2826565,,,,
R285,R308,MT EDEN AV,IRT,4,4988987,3793955,7413784,5434549,5782816,4169866,1403302,1414191,,,,MT EDEN AVE
R286,R309,176 ST,IRT,4,4546074,2741012,7804838,4205740,6420062,3785576,1482662,1519930,,,,
R287,R244,BURNSIDE AV,IRT,4,9624008,5581818,14487969,8442782,11557482,6926050,2575916,2231959,,,,BURNSIDE AVE
R288,R275,183 ST,IRT,4,5380243,2941046,8201881,4398332,6634943,3708844,1665101,1324061,,,,
R289,R119,FORDHAM RD,IRT,4,10699498,3486342,15681587,3416824,11828177,2556577,2868615,971818,,,,FORDHAM ROAD
R290,R161,KINGSBRIDGE RD,IRT,4,8543647,6334808,12733040,7286409,9986170,5558748,2370943,1820496,,,,
R291,R183,BEDFORD PK BLVD,IRT,4,4971483,5245063,7464604,6038284,5642473,4579504,1376149,1702390,,,,BEDFORD PARK BL
R293,R133,MOSHOLU PKWY,IRT,4,8019878,2904995,11664739,3751015,9110888,3073426,2242713,1285027,,,,"MOSHOLU PKY,MOSHOLU PARKWAY"
R294,R052,WOODLAWN,IRT,4,6820012,3080140,9816401,2705530,7677648,1940273,1865184,798110,,,,WOODLAWN ROAD
R301,R323,CENTRAL PK N110,IRT,23,7338091,4581318,12440647,10429124,9617008,8887662,1759772,2668358,,,,"110 ST,110 ST-CPN"
R302,R324,116 ST,IRT,23,6689732,1495656,11132068,2317263,8801891,2257727,1736266,892796,,,,
R303,R324,116 ST,IRT,23,2672704,2626569,4378525,4245481,3305514,3666643,704284,1238116,,,,
R304,R206,125 ST,IRT,23,7883072,2334601,12962390,3790949,10606728,3650123,1998957,1386446,,,,
R305,R206,125 ST,IRT,23,4387745,2586103,7398168,3706568,5942348,3458340,1224738,1291240,,,,
R306,R207,135 ST,IRT,23,8406201,1606026,14211226,2156912,11570884,1816171,2194220,751324,,,,
R307,R207,135 ST,IRT,23,3360537,3623998,5452144,4332055,4115321,3367490,898256,1301594,,,,
R308,R344,145 ST,IRT,3,2693077,128655,4527684,211071,3252781,237800,818107,156549,,,,
R309,R345,HARLEM 148 ST,IRT,3,2961143,2620181,4975744,4451737,4192686,4082612,845432,1162271,,,,148 ST-LENOX
R310,R053,3 AV-149 ST,IRT,25,15225327,3068551,23380310,4254844,18944779,3569369,3775397,1634545,,,,"149 ST - 3 AVE,149 ST-3 AVE"
R311,R053,3 AV-149 ST,IRT,25,4741097,6204989,6980085,8437971,5596980,7245421,1263935,3046837,,,,"149 ST - 3 AVE,149 ST-3 AVE"
R312,R405,JACKSON AV,IRT,25,4240379,811271,7027725,1361244,5793620,1198264,1299917,390569,,,,JACKSON AVE
R314,R406,PROSPECT AV,IRT,25,4671758,498477,7708455,693180,6336499,856988,1391111,342699,,,,PROSPECT AVE
R315,R406,PROSPECT AV,IRT,25,1296585,1177645,2017621,1901090,1532642,1797326,391180,578169,,,,PROSPECT AVE
R316,R407,INTERVALE AV,IRT,25,2505228,2418128,4293986,4094489,3492236,3612359,859012,1291963,,,,INTERVALE-163
R317,R408,SIMPSON ST,IRT,25,2131314,1270146,3256893,1554395,2353018,1895027,574067,667678,,,,
R318,R408,SIMPSON ST,IRT,25,5813312,666887,9131940,956845,7202305,1033803,1565486,371441,,,,
R319,R409,FREEMAN ST,IRT,25,831319,2657752,1319104,4320684,983845,3773558,256441,1462967,,,,
R320,R409,FREEMAN ST,IRT,25,2877939,335475,4822211,553982,4019527,626026,921644,254407,,,,
R321,R386,174 ST,IRT,25,1335919,4029360,2076497,5470443,1488352,4728830,370965,1697736,,,,
R322,R386,174 ST,IRT,25,4586828,1632606,7384839,2459866,6021130,2405665,1280921,827656,,,,
R323,R387,WEST FARMS SQ,IRT,25,6707310,6088008,10109052,7933153,7709728,5088527,1649511,1874828,,,,"E TREMONT AV,E TREMONT AVE"
R325,R388,E 180 ST,IRT,25,5715547,5348030,9740034,8096034,8511639,7571626,2011719,2499414,,,,
R326,R389,BRONX PARK EAST,IRT,25,2334492,976055,3601372,1430226,2716636,1193397,649508,448960,,,,
R327,R361,PELHAM PKWY,IRT,25,2392970,919064,3726237,1248962,2786361,940663,606695,197292,,,,"PELHAM PKY,PELHAM PARKWAY"
R328,R361,PELHAM PKWY,IRT,25,5188768,2550381,8553084,3845783,6739011,3450489,1561282,1407740,,,,"PELHAM PKY,PELHAM PARKWAY"
R329,R362,ALLERTON AV,IRT,25,4495246,1965373,7195488,2915250,5739240,2460065,1327857,901196,,,,ALLERTON AVE
R330,R363,BURKE AV,IRT,25,2888991,1043508,4567540,1594201,3600582,1523359,831121,563225,,,,BURKE AVE
R331,R364,GUN HILL RD,IRT,25,5997333,6310399,9820391,10063719,8059000,9128760,1765096,2976007,,,,GUN HILL ROAD
R332,R365,219 ST,IRT,25,2837788,1239146,4423001,1914875,3560348,1894733,783817,657244,,,,
R333,R366,225 ST,IRT,25,3670398,1644856,5759769,2341164,4384917,2306259,970102,852058,,,,
R334,R367,233 ST,IRT,25,4528792,1352167,7048601,2185205,5304073,1735942,1294496,707761,,,,
R335,R444,NEREID AV,IRT,25,2873411,1090709,4738399,1812454,3668326,1519851,902521,574069,,,,"238 ST,NEREID AVE"
